ProjectID,BuildingID,ReportingConstructionType,Borough,Block,Lot,BIN,HouseNumber,StreetName,CountedRentalUnits,CountedHomeownershipUnits,AllCountedUnits,TotalBuildingUnits,BaseSquareFootage,Stories,BBL,Community Board,Council District,Census Tract,NTA,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Postcode
52817,21585,Preservation,1,244,40,1078940,621,WATER STREET,0,0,0,124,0,5,1002440040,3,1,202,MN28,40.711307,-73.983761,40.711307,-73.983761,10002
67636,9438,Preservation,1,248,15,1085945,82,RUTGERS SLIP,198,0,198,198,49116,21,1002480015,3,1,6,MN28,40.710591,-73.989864,40.710591,-73.989864,10002
51617,25490,Preservation,1,253,1,1077585,10,MONROE STREET,0,0,0,795,25000,10,1002530001,3,1,8,MN27,40.711453,-73.995661,40.711453,-73.995661,10002
51617,805099,Preservation,1,253,1,1077591,30,MONROE STREET,0,0,0,795,25000,10,1002530001,3,1,8,MN27,40.711522,-73.994939,40.711522,-73.994939,10002
60361,25115,Preservation,1,277,4,1079222,81,MADISON STREET,20,0,20,20,2150,5,1002770004,3,1,8,MN27,40.712156,-73.996108,40.712156,-73.996108,10002
61388,975509,New Construction,1,346,175,1000000,180,BROOME STREET,121,0,121,263,38490,26,1003460175,3,1,1402,MN28,40.716868,-73.986065,40.716868,-73.986065,10002
52083,967329,New Construction,1,346,7501,1089660,145,CLINTON STREET,104,0,104,211,28207,15,1003467501,3,1,1402,MN28,40.71661,-73.986375,40.71661,-73.986375,10002
52435,969128,New Construction,1,347,71,1089451,164,BROOME STREET,100,0,100,100,20246,14,1003477501,3,1,1402,MN28,40.716678,-73.985452,40.716678,-73.985452,10002
52122,972598,New Construction,1,352,7501,1090554,115,DELANCEY STREET,98,0,98,195,41807,25,1003527501,3,1,18,MN27,40.718509,-73.988085,40.718509,-73.988085,10002
61728,975686,New Construction,1,354,1,1004309,140,ESSEX STREET,93,0,93,93,11315,8,1003540001,3,1,3001,MN27,40.720291,-73.987298,40.720291,-73.987298,10002
64745,927166,New Construction,1,372,49,1000000,302,EAST 2 STREET,45,0,45,45,3057,14,1003720049,3,2,2202,MN28,40.72013,-73.979361,40.72013,-73.979361,10009
49544,10734,Preservation,1,373,18,1004386,330,EAST 4 STREET,33,0,33,33,2204,5,1003730018,3,2,2601,MN28,40.721788,-73.979022,40.721788,-73.979022,10009
51384,11124,Preservation,1,376,10,1004471,236,EAST 7 STREET,0,0,0,20,0,5,1003760010,3,2,2602,MN28,40.723863,-73.978361,40.723863,-73.978361,10009
51384,11126,Preservation,1,376,11,1004472,238,EAST 7 STREET,0,0,0,30,1,6,1003760011,3,2,2602,MN28,40.723841,-73.97831,40.723841,-73.97831,10009
51052,11135,Preservation,1,376,16,1004475,248,EAST 7 STREET,0,0,0,12,23604,6,1003760016,3,2,2602,MN28,40.72374,-73.978065,40.72374,-73.978065,10009
65563,11162,Preservation,1,376,31,1004487,276,EAST 7 STREET,17,0,17,17,2208,6,1003760031,3,2,2602,MN28,40.723448,-73.97738,40.723448,-73.97738,10009
67462,11267,Preservation,1,377,16,1004506,368,EAST 8 STREET,2,27,29,29,3840,6,1003770016,3,2,2602,MN28,40.724319,-73.977549,40.724319,-73.977549,10009
50804,6529,Preservation,1,378,4,1004527,132,AVENUE C,0,0,0,22,30450,6,1003780004,3,2,2602,MN28,40.724939,-73.978223,40.724939,-73.978223,10009
51067,11583,Preservation,1,379,15,1004545,412,EAST 10 STREET,0,0,0,24,14910,6,1003790015,3,2,28,MN28,40.725581,-73.976849,40.725581,-73.976849,10009
60000,6626,Preservation,1,379,34,1004554,139,AVENUE D,45,0,45,45,0,6,1003790034,3,2,28,MN28,40.724606,-73.975373,40.724606,-73.975373,10009
51274,6564,Preservation,1,382,1,1083146,2,HAVEN PLAZA,0,0,0,72,1,1,1003820001,3,2,28,MN28,40.727003,-73.976448,40.727003,-73.976448,10009
51274,804063,Preservation,1,382,1,1083141,1,HAVEN PLAZA,0,0,0,278,1,1,1003820001,3,2,28,MN28,40.727016,-73.97644,40.727016,-73.97644,10009
51274,804358,Preservation,1,382,1,1083143,700,EAST 13 STREET,0,0,0,22,1,1,1003820001,3,2,28,MN28,40.727593,-73.975827,40.727593,-73.975827,10009
52147,804721,Preservation,1,382,100,1078022,710,EAST 11 STREET,16,0,16,16,0,2,1003820100,3,2,28,MN28,40.726105,-73.976246,40.726105,-73.976246,10009
52147,6551,Preservation,1,382,100,1078025,162,AVENUE C,157,0,157,158,0,21,1003820100,3,2,28,MN28,40.725963,-73.977458,40.725963,-73.977458,10009
52147,804714,Preservation,1,382,100,1078024,411,EAST 10 STREET,188,0,188,188,0,25,1003820100,3,2,28,MN28,40.725628,-73.97691,40.725628,-73.97691,10009
52147,804722,Preservation,1,382,100,1078021,711,EAST 11 STREET,72,0,72,72,0,10,1003820100,3,2,28,MN28,40.726231,-73.976509,40.726231,-73.976509,10009
63252,6478,Preservation,1,386,1,1004610,37,AVENUE B,6,0,6,6,4664,4,1003860001,3,2,2601,MN28,40.72276,-73.982889,40.72276,-73.982889,10009
55428,10709,Preservation,1,387,48,1004650,277,EAST 4 STREET,24,0,24,24,0,,1003870048,3,2,2601,MN28,40.722716,-73.981168,40.722716,-73.981168,10009
50801,6603,Preservation,1,387,140,1004657,77,AVENUE C,0,0,0,16,0,6,1003870140,3,2,2601,MN28,40.723051,-73.979624,40.723051,-73.979624,10009
50808,11113,Preservation,1,389,27,1004682,218,EAST 7 STREET,0,0,0,5,7765,5,1003890027,3,2,2602,MN28,40.724445,-73.979746,40.724445,-73.979746,10009
52816,11115,Preservation,1,389,28,1004683,220,EAST 7 STREET,0,0,0,15,0,5,1003890028,3,2,2602,MN28,40.724322,-73.97945,40.724322,-73.97945,10009
50820,11252,Preservation,1,390,24,1004713,334,EAST 8 STREET,0,0,0,30,29232,6,1003900024,3,2,2602,MN28,40.724903,-73.978927,40.724903,-73.978927,10009
50793,821898,Preservation,1,390,7501,1085928,217,EAST 7 STREET,0,0,0,16,13141,6,1003907501,3,2,2602,MN28,40.724459,-73.979735,40.724459,-73.979735,10009
51481,11391,Preservation,1,391,14,1082474,614,EAST 9 STREET,0,0,0,32,0,5,1003910014,3,2,2602,MN28,40.725925,-73.979515,40.725925,-73.979515,10009
51463,11396,Preservation,1,391,21,1004744,628,EAST 9 STREET,0,0,0,15,1,5,1003910021,3,2,2602,MN28,40.725839,-73.979309,40.725839,-73.979309,10009
50806,11247,Preservation,1,391,45,1077453,327,EAST 8 STREET,0,0,0,12,17669,5,1003910045,3,2,2602,MN28,40.725043,-73.979212,40.725043,-73.979212,10009
50788,11230,Preservation,1,391,57,1004759,303,EAST 8 STREET,0,0,0,13,1,6,1003910057,3,2,2602,MN28,40.725433,-73.980143,40.725433,-73.980143,10009
66834,11562,Preservation,1,392,22,1004769,374,EAST 10 STREET,17,0,17,17,4614,6,1003920022,3,2,28,MN28,40.726284,-73.978533,40.726284,-73.978533,10009
51031,6546,Preservation,1,392,33,1004774,155,AVENUE C,0,0,0,16,1,5,1003920033,3,2,28,MN28,40.725636,-73.977729,40.725636,-73.977729,10009
66834,11395,Preservation,1,392,48,1004783,627,EAST 9 STREET,35,0,35,35,9227,6,1003920048,3,2,28,MN28,40.725867,-73.979327,40.725867,-73.979327,10009
50819,6422,Preservation,1,393,6,1004875,169,AVENUE B,0,0,0,9,2356,5,1003930006,3,2,28,MN28,40.727253,-73.979612,40.727253,-73.979612,10009
50807,6424,Preservation,1,393,7,1004876,171,AVENUE B,0,0,0,9,2356,5,1003930007,3,2,28,MN28,40.727313,-73.979568,40.727313,-73.979568,10009
50821,6426,Preservation,1,393,8,1004877,173,AVENUE B,0,0,0,9,10785,5,1003930008,3,2,28,MN28,40.727374,-73.979525,40.727374,-73.979525,10009
50795,6555,Preservation,1,393,36,1004893,169,AVENUE C,0,0,0,8,1,5,1003930036,3,2,28,MN28,40.726147,-73.977343,40.726147,-73.977343,10009
50795,6554,Preservation,1,393,37,1004894,167,AVENUE C,0,0,0,8,1,5,1003930037,3,2,28,MN28,40.726086,-73.97739,40.726086,-73.97739,10009
50795,6553,Preservation,1,393,38,1004895,165,AVENUE C,0,0,0,8,1,5,1003930038,3,2,28,MN28,40.726029,-73.977433,40.726029,-73.977433,10009
50805,11576,Preservation,1,393,40,1004897,391,EAST 10 STREET,0,0,0,7,10625,5,1003930040,3,2,28,MN28,40.726138,-73.97814,40.726138,-73.97814,10009
53551,11564,Preservation,1,393,47,1004898,377,EAST 10 STREET,0,12,12,12,2370,6,1003930047,3,2,28,MN28,40.726325,-73.978587,40.726325,-73.978587,10009
66834,6443,Preservation,1,395,1,1004926,195,AVENUE B,16,0,16,16,4650,6,1003950001,3,2,28,MN28,40.7282,-73.978919,40.7282,-73.978919,10009
66834,6446,Preservation,1,395,3,1077464,199,AVENUE B,23,0,23,23,2093,4,1003950003,3,2,28,MN28,40.72831,-73.978839,40.72831,-73.978839,10009
55428,11879,Preservation,1,395,9,1079061,635,EAST 12 STREET,269,0,269,269,0,,1003950009,3,2,28,MN28,40.727478,-73.977519,40.727478,-73.977519,10009
48996,972405,New Construction,1,406,6,1005201,204,AVENUE A,0,10,10,10,0,5,1004060006,3,2,34,MN22,40.729512,-73.981,40.729512,-73.981,10009
48996,972406,New Construction,1,406,47,1005227,535,EAST 12 STREET,11,0,11,11,0,5,1004060047,3,2,34,MN22,40.728708,-73.980405,40.728708,-73.980405,10009
58887,21360,Preservation,1,415,12,1077624,176,ELDRIDGE STREET,29,0,29,29,13893,6,1004150012,3,1,18,MN27,40.720406,-73.990804,40.720406,-73.990804,10002
58887,804767,Preservation,1,415,12,1077623,180,ELDRIDGE STREET,25,0,25,25,13893,6,1004150012,3,1,18,MN27,40.720538,-73.990736,40.720538,-73.990736,10002
65391,10031,Preservation,1,460,1,1006580,1,COOPER SQUARE,151,0,151,151,22270,14,1004600001,3,2,38,MN22,40.727153,-73.991518,40.727153,-73.991518,10003
48650,11915,Preservation,1,468,20,1006860,222,EAST 13 STREET,18,0,18,18,1418,3,1004680020,3,2,40,MN22,40.732307,-73.987,40.732307,-73.987,10003
48937,21460,Preservation,1,507,10,1007852,244,ELIZABETH STREET,0,0,0,19,2630,5,1005070010,2,1,43,MN24,40.723423,-73.993856,40.723423,-73.993856,10012
51607,953385,New Construction,1,594,7511,1090602,261,HUDSON STREET,41,0,41,201,26704,12,1005947511,2,3,37,MN24,40.724919,-74.007732,40.724919,-74.007732,10013
50837,881542,Preservation,1,595,7504,1087495,330,SPRING STREET,0,0,0,40,0,12,1005957504,2,3,37,MN24,40.726044,-74.009705,40.726044,-74.009705,10013
51104,956094,New Construction,1,595,7509,1080177,460,WASHINGTON STREET,22,0,22,107,25641,10,1005957509,1,1,39,MN24,40.724414,-74.010192,40.724414,-74.010192,10013
51424,44252,Preservation,1,639,1,1012047,445,WEST STREET,0,0,0,384,0,13,1006390001,2,3,79,MN23,40.736109,-74.010013,40.736109,-74.010013,10014
50818,31409,Preservation,1,694,17,1012327,531,WEST 22 STREET,0,0,0,50,0,5,1006940017,4,3,99,MN13,40.747481,-74.005724,40.747481,-74.005724,10011
44282,973906,New Construction,1,716,7506,1000000,425,WEST 18 STREET,160,0,160,160,11040,18,1007167506,4,3,89,MN13,40.743962,-74.004735,40.743962,-74.004735,10011
48899,4623,Preservation,1,747,1,1078541,350,WEST 24 STREET,0,0,0,186,71700,21,1007470001,4,3,93,MN13,40.746825,-74.000448,40.746825,-74.000448,10011
51565,4623,Preservation,1,747,1,1078541,350,WEST 24 STREET,0,0,0,186,71700,21,1007470001,4,3,93,MN13,40.746825,-74.000448,40.746825,-74.000448,10011
48899,31596,Preservation,1,748,1,1083596,311,WEST 24 STREET,0,0,0,378,206175,21,1007480001,4,3,93,MN13,40.746043,-73.998333,40.746043,-73.998333,10011
48899,805574,Preservation,1,748,1,1083598,341,WEST 24 STREET,0,0,0,378,206175,21,1007480001,4,3,93,MN13,40.746325,-73.999802,40.746325,-73.999802,10011
51565,31596,Preservation,1,748,1,1083596,311,WEST 24 STREET,0,0,0,378,206175,21,1007480001,4,3,93,MN13,40.746043,-73.998333,40.746043,-73.998333,10011
