puma,total,studio,one_bed,two_bed,three_bed,four_bed,five_bed+
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",920,452,829,1047,1057,869,1578
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",1170,600,892,1164,1496,389,-
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",1349,1121,1267,1471,1676,1385,1340
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",1411,1154,1270,1453,1762,1814,-
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",1046,736,1002,1106,1186,1362,675
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",1170,1072,1089,1295,1114,1555,-
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",1164,840,1170,1181,1302,1527,-
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",1273,792,1253,1387,1555,2129,-
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1383,1004,1383,1402,1649,1503,-
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",1197,790,1156,1204,1424,1744,864
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",1456,1177,1364,1546,1836,1450,-
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1410,1238,1279,1492,1696,1734,-
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1554,1151,1406,1646,1750,1663,2137
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1118,928,1131,1073,1535,1316,-
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",1384,1182,1327,1488,1652,2280,2096
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1408,1219,1359,1434,1696,-,-
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",971,639,784,1102,1059,1810,1357
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",1332,1170,1200,1409,1757,1850,-
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",1460,1121,1202,1445,1827,2675,-
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",1854,1842,1974,1744,1873,1853,1122
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",2116,1792,2442,2168,1339,944,672
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",1409,1074,1375,1355,1605,2021,1499
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",1592,1433,1321,1587,1766,2392,490
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",1243,872,986,1337,1577,1828,-
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",2119,1597,2055,2532,2345,1927,-
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1600,1313,1284,1699,1725,1679,1901
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",1376,716,1353,1352,1644,1914,1664
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",1491,1336,1309,1636,2034,3079,1188
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",2642,2695,2620,2711,2677,1532,-
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",1140,963,1186,1187,1099,1086,289
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",1027,1160,982,939,1165,1527,-
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",1387,1264,1414,1378,1364,1486,-
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",1140,1675,996,1129,1107,1661,-
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",2088,1502,2422,2658,2248,-,-
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",2445,2158,2769,2306,2634,1767,1298
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",2229,1965,2628,2192,1656,2729,-
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",2299,2071,2377,2649,2419,-,-
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1521,1125,1619,1487,1820,991,-
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",1705,238,1438,1749,1787,1941,-
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1942,1696,1490,1885,2408,2620,-
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",1334,1264,1018,1360,1714,2108,1813
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",1595,1128,1347,1687,1827,1783,1809
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",1235,594,1009,1313,1604,811,1545
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",1696,1407,1681,1780,1831,2176,-
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",1728,1441,1686,1773,2108,2686,731
