Geographic Area Name,less_than_15,15_to_19.9,20_to_24.9,25_to_29.9,30_to_34.9,35_or_more
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",11.6,7.3,7.9,9.6,9.8,53.8
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",16.1,11.8,11.6,12.7,11.5,36.3
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",12.5,12,9.6,13.3,6.2,46.3
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",7.4,9.3,11.4,7.2,11.1,53.6
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",10.4,7.7,8.9,9.3,10.5,53.1
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",9.9,6.7,15.3,8.7,7.4,51.9
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",8.8,8.2,6.9,10.4,10.7,55
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",7.1,9.5,9.2,8.3,10.2,55.6
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",13.2,12.2,10,6.2,8,50.4
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",7.3,10.2,12.8,8.5,13,48.3
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",13.9,11.6,13.9,10.7,7.2,42.6
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",11.4,10.6,8.5,9.6,8.8,51
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",8.8,8,8,5.5,9.2,60.4
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",12.9,9.4,11.3,10.2,12.9,43.3
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",11.7,12.4,11.1,12.9,8.6,43.3
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",14.1,10.2,10.2,9.3,9.6,46.7
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",14.2,4.5,8.8,10.2,9.1,53.2
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",14.6,10,11.9,9.8,10,43.8
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",13.8,14.1,11,11.9,9,40.2
