puma,total,white,african_american,asian,hispanic
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",166272,3015,48668,1464,111112
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",111431,32027,32286,1841,43783
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",124632,28436,26388,9898,56105
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",150691,7337,106146,6758,27784
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",174740,8694,50624,1840,111592
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",151835,3287,39482,2772,104570
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",135115,1372,35827,1751,95029
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",138899,8683,21644,3464,102254
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",108865,33087,13209,4966,54877
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",193240,5618,54680,16172,108316
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",118804,66340,1980,28583,18953
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",189426,75009,1794,78091,31489
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",163620,62208,50283,16164,29960
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",159017,102499,6180,26307,17821
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",109658,3866,78724,1391,23992
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",145860,3905,126103,1883,10949
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",208091,45509,132980,8017,18041
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",166361,107242,6318,10689,39088
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",143328,69695,35102,14053,17922
