Geographic Area Name,one_person,two_person,three_person,fourplus_person,1_or_less_per_room,family_household
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",35.8,22.7,14,27.5,86,58.3
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",42.9,28.7,9.5,18.9,93.5,53.6
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",35.4,26.1,17.7,20.8,87.9,60
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",34.4,26.6,17.3,21.6,87.9,58.5
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",33.8,23.7,17.2,25.3,87.7,61.8
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",32.2,22.3,18.3,27.2,81.3,63.2
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",27.5,22.3,22.7,27.6,84.3,68.8
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",27.1,26.7,19.9,26.3,80.7,67.2
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",32.9,25.7,18.7,22.7,86.3,59.2
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",30.8,28.4,16.3,24.4,86.8,63.5
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",38.2,26.4,13.3,22.1,86.7,54.3
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",25.2,25.7,20.4,28.6,82.9,68.6
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",25,20.6,15.7,38.7,75.3,70.2
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",33.5,35.4,12.2,18.9,89.2,60.9
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",30.1,29.1,19.9,20.8,86.6,61.5
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",32.7,28.9,19.4,19.1,90.9,60.9
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",46.3,23.3,14.6,15.8,94,49.5
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",34.6,28.3,18.5,18.5,90.9,59.4
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",28.1,28.1,21,22.8,91.1,68.4
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",28.6,41.8,14.4,15.1,91.8,47.3
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",37.2,40,10.3,12.5,93.3,41.1
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",33.8,32.5,14.7,19,92.7,49.2
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",29.5,30,22.2,18.3,93.4,46.2
