name,code
St. Lawrence County PUMA,100
"Clinton, Franklin, Essex & Hamilton Counties PUMA",200
Warren & Washington Counties PUMA,300
Herkimer (North & Central) & Oneida (Outer) Counties PUMA,401
Oneida County (Central)--Greater Utica & Rome Cities PUMA,402
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",403
Jefferson & Lewis Counties PUMA,500
Oswego County PUMA,600
Onondaga County (Central)--Syracuse City PUMA,701
Onondaga County (North) PUMA,702
Onondaga County (Central)--Syracuse City (Outer) PUMA,703
Cayuga & Onondaga (South) Counties PUMA,704
Wayne & Seneca Counties PUMA,800
Monroe County (East) PUMA,901
Monroe County (Central)--Rochester City (East) PUMA,902
Monroe County (Central)--Rochester City (West) PUMA,903
Monroe County (Central)--Greece & Gates Towns PUMA,904
Monroe County (North & West) PUMA,905
Monroe County (South) PUMA,906
Genesee & Orleans Counties PUMA,1000
Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1101
Niagara County (North & East) PUMA,1102
Erie County (Northwest) PUMA,1201
Erie County (North Central) PUMA,1202
Erie County (Northeast) PUMA,1203
Erie County (Central) PUMA,1204
Erie County (West Central)--Buffalo City (East) PUMA,1205
Erie County (West Central)--Buffalo City (West) PUMA,1206
Erie County (South) PUMA,1207
Livingston & Wyoming Counties PUMA,1300
Ontario & Yates Counties PUMA,1400
Madison & Cortland Counties PUMA,1500
Fulton & Montgomery Counties PUMA,1600
Schenectady County--Schenectady City PUMA,1700
Saratoga County (South & Central) PUMA,1801
Saratoga County (Outer) PUMA,1802
Rensselaer County--Troy City PUMA,1900
Albany County (East Central)--Albany City PUMA,2001
Albany County (Outside Albany City) PUMA,2002
Columbia & Greene Counties PUMA,2100
Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,2201
Broome (Outer West) & Tioga Counties PUMA,2202
"Chenango, Delaware & Broome (East) Counties PUMA",2203
Tompkins County PUMA,2300
Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,2401
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",2402
Cattaraugus & Allegany Counties PUMA,2500
Chautauqua County PUMA,2600
Sullivan & Ulster (West) Counties PUMA,2701
Ulster County (East) PUMA,2702
Dutchess County (North & East) PUMA,2801
Dutchess County (Southwest) PUMA,2802
Orange County (Northeast)--Greater Newburgh City PUMA,2901
Orange County (Northwest) PUMA,2902
Orange County (Southeast) PUMA,2903
Rockland County (North)--New City & Congers PUMA,3001
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",3002
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",3003
Putnam County PUMA,3101
Westchester County (Northwest) PUMA,3102
Westchester County (Northeast) PUMA,3103
Westchester County (Southeast) PUMA,3104
Westchester County (Central)--White Plains City PUMA,3105
Westchester County (Southwest)--Yonkers City PUMA,3106
Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3107
Nassau County (Northwest)--North Hempstead Town (North) PUMA,3201
Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,3202
Nassau County (East Central)--Oyster Bay Town (Central) PUMA,3203
